Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,XXXX项目,,,,,,
,项目测量及分析表,,,,,,
,,,,,,,
,,,,,,,
,,,,文档修订记录,,,
,,,,,,,
,版本号,修订日期,修订人,修订说明,批准日期,审核人,批准人
,V1.0,2024-05-31 00:00:00,寇文军,新建,2024-05-31 00:00:00,石荣磊,Jack Wong
,V1.1,2024-09-01 00:00:00,寇文军,模版《项目测量表及分析表》，在‘生产率及质量’的sheet中，对于迭代模型，用迭代版本进行分析（版本1，版本2，版本3…...），不是使用阶段,2024-09-01 00:00:00,石荣磊,Jack Wong
,V1.2,2024-11-13 00:00:00,寇文军,模版《项目测量表及分析表》，在‘生产率及质量’的sheet中，增加以下组织级的目标：代码走查、单元测试缺陷密度，功能测试、系统测试缺陷密度，缺陷遗留率,2024-11-13 00:00:00,石荣磊,Jack Wong
