需求编号,需求描述,用例类型,功能模块,导航,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
9347,【需求9347】内、外部人员发起时的数据权限需要优化，按照基础服务返回的组织信息和单据中所选的建设单位匹配出数据供查看,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,权限层级为全国级，总部权限人员查看全国数据,1、数据权限配置了全国级组织层级,1、总部权限人员进入结算审计列表页,1、可查看全国所有数据，包含单据详情和流程历史,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,权限层级为公司级，总部权限人员查看公司数据,1、数据权限配置了公司级组织层级,1、总部权限人员进入结算审计列表页,1、可查看某一个公司所有数据，包含单据详情和流程历史,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,权限层级为地市级A，单据的建设单位为地市A,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、公司下的权限人员进入结算审计列表页,1、可查看到单据建设单位为地市A的所有内部和外部发起的数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,权限层级为地市级A，单据建设单位为A、B,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、公司下的权限人员进入结算审计列表页,1、可查看到单据建设单位为地市A的所有内部和外部发起的数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,权限层级为地市A，单据的建设单位由A变更为B,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据","1、单据的建设单位为A，权限人员进入结算审计列表页；
2、单据的建设单位变更为B，权限人员进入结算审计列表页；","1、可查看到建设单位为地市A的所有内部和外部发起的数据
2、看不到数据",通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,数据权限组织为地市A，单据建设单位为B,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、权限人员进入结算审计列表页；,1、看不到数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,数据权限组织为地市A，单据建设单位为A，权限人员本身有发起或参与审批的数据,"1、配置了数据权限层级A且本身有发起或参与审批的数据
2、单据有内部人和外部人发起的数据",1、权限人员进入结算审计列表页；,1、可查看本身能看到的数据和单据建设单位为地市A所有内部和外部的数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,数据权限组织为本部门（与合作单位组织保持一致），单据建设单位为地市A,"1、数据权限配置了与合作单位相同的层级组织
2、单据由外部人发起的数据
3、单据建设单位为地市A",1、权限人员进入结算审计列表页；,1、看不到数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,数据权限组织为地市A（与单据发起人组织保持一致），单据建设单位为地市B,"1、数据权限配置了与单据发起人相同的层级组织
2、单据由内部人发起的数据
3、单据建设单位为地市B",1、权限人员进入结算审计列表页；,1、看不到数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,历史数据，权限层级为地市级A，单据的建设单位为地市A,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、权限人员进入结算审计列表页,1、可查看到建设单位为地市A的所有内部和外部发起的历史数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,历史数据，权限层级为地市级A，单据的建设单位为地市B,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、权限人员进入结算审计列表页；,1、看不到数据,通过,匡艳军,UAT,
9347,,业务,结算审计,项目管理-审计管理-结算审计,数据权限,L2,数据权限组织为地市A，单据建设单位为地市A，非权限人员查看列表,"1、数据权限配置了地市级组织层级
2、单据有内部人和外部人发起的数据",1、非权限人员进入结算审计列表页；,1、看不到数据,通过,匡艳军,UAT,
